Coordinator total runtime: 1.36458e+06, sent messages: 5335
Total cancel messages sent: 1312
Map reduces duration times: 
index: 3, amount of maps: 10, start time: 6, duration time: 43488
index: 2, amount of maps: 10, start time: 6, duration time: 51293
index: 0, amount of maps: 10, start time: -1, duration time: 52944
index: 5, amount of maps: 10, start time: 30000, duration time: 24061
index: 1, amount of maps: 100, start time: 4, duration time: 56224
index: 6, amount of maps: 10, start time: 34999, duration time: 25509
index: 7, amount of maps: 10, start time: 39998, duration time: 27134
index: 9, amount of maps: 10, start time: 50000, duration time: 18227
index: 10, amount of maps: 10, start time: 50005, duration time: 25313
index: 8, amount of maps: 10, start time: 40005, duration time: 36374
index: 4, amount of maps: 70, start time: 29997, duration time: 56719


Map reduces: index: 3 2 0 5 1 6 7 9 10 8 4 

Worker 2, ip: 2001:660:3207:400::2, total runtime: 1, total execution time: 77631, idle time: -7.763e+06%, sent_messages: 157, total_solved_tasks: 155, pending_tasks: 0, performance mean: 383.000000
Worker 3, ip: 2001:660:3207:400::3, total runtime: 1, total execution time: 83340, idle time: -8.3339e+06%, sent_messages: 328, total_solved_tasks: 170, pending_tasks: 0, performance mean: 346.000000
Worker 4, ip: 2001:660:3207:400::16, total runtime: 1, total execution time: 76087, idle time: -7.6086e+06%, sent_messages: 491, total_solved_tasks: 161, pending_tasks: 0, performance mean: 353.000000
Worker 5, ip: 2001:660:3207:400::5, total runtime: 1, total execution time: 73350, idle time: -7.3349e+06%, sent_messages: 154, total_solved_tasks: 152, pending_tasks: 0, performance mean: 319.000000
Worker 6, ip: 2001:660:3207:400::6, total runtime: 1, total execution time: 75202, idle time: -7.5201e+06%, sent_messages: 156, total_solved_tasks: 154, pending_tasks: 0, performance mean: 217.000000
Worker 7, ip: 2001:660:3207:400::7, total runtime: 1, total execution time: 69997, idle time: -6.9996e+06%, sent_messages: 163, total_solved_tasks: 161, pending_tasks: 0, performance mean: 312.000000
Worker 8, ip: 2001:660:3207:400::9, total runtime: 1, total execution time: 76975, idle time: -7.6974e+06%, sent_messages: 157, total_solved_tasks: 155, pending_tasks: 0, performance mean: 318.000000
Worker 9, ip: 2001:660:3207:400::a, total runtime: 1, total execution time: 72016, idle time: -7.2015e+06%, sent_messages: 153, total_solved_tasks: 151, pending_tasks: 0, performance mean: 313.000000
Worker 10, ip: 2001:660:3207:400::b, total runtime: 1, total execution time: 94734, idle time: -9.4733e+06%, sent_messages: 137, total_solved_tasks: 135, pending_tasks: 0, performance mean: 377.000000
Worker 11, ip: 2001:660:3207:400::c, total runtime: 1, total execution time: 137865, idle time: -1.37864e+07%, sent_messages: 141, total_solved_tasks: 140, pending_tasks: 0, performance mean: 382.000000
Worker 12, ip: 2001:660:3207:400::d, total runtime: 1, total execution time: 133748, idle time: -1.33747e+07%, sent_messages: 144, total_solved_tasks: 143, pending_tasks: 0, performance mean: 368.000000
