Execution with redundancy: 0, threshold: 0
Map reduce execution time: 163.918

host: 	Node0		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node1		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node2		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node3		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node4		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node5		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node6		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node7		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node8		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node9		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node10		 idle_time: 		0.238276		 performance_value: 		no_responses
host: 	Node11		 idle_time: 		37.878989		 performance_value: 		50.000000
host: 	Node12		 idle_time: 		65.504641		 performance_value: 		50.000000
host: 	Node13		 idle_time: 		68.652663		 performance_value: 		50.000000
host: 	Node14		 idle_time: 		24.777495		 performance_value: 		50.000000
host: 	Node15		 idle_time: 		69.063744		 performance_value: 		50.000000
host: 	Node16		 idle_time: 		0.301771		 performance_value: 		no_responses
host: 	Node17		 idle_time: 		55.716064		 performance_value: 		50.000000
host: 	Node18		 idle_time: 		7.204347		 performance_value: 		50.000000
host: 	Node19		 idle_time: 		53.092467		 performance_value: 		50.000000
host: 	Node20		 idle_time: 		71.283338		 performance_value: 		50.000000
host: 	Node21		 idle_time: 		74.973539		 performance_value: 		50.000000
host: 	Node22		 idle_time: 		20.255191		 performance_value: 		50.000000
host: 	Node23		 idle_time: 		71.109423		 performance_value: 		50.000000
host: 	Node24		 idle_time: 		53.171470		 performance_value: 		50.000000
host: 	Node25		 idle_time: 		61.282278		 performance_value: 		50.000000
host: 	Node26		 idle_time: 		0.444635		 performance_value: 		no_responses
host: 	Node27		 idle_time: 		63.244360		 performance_value: 		50.000000
host: 	Node28		 idle_time: 		74.774130		 performance_value: 		50.000000
host: 	Node29		 idle_time: 		0.492272		 performance_value: 		no_responses
host: 	Node30		 idle_time: 		69.248440		 performance_value: 		50.000000
host: 	Node31		 idle_time: 		0.531972		 performance_value: 		no_responses
host: 	Node32		 idle_time: 		54.536331		 performance_value: 		50.000000
host: 	Node33		 idle_time: 		55.611365		 performance_value: 		50.000000
host: 	Node34		 idle_time: 		71.431067		 performance_value: 		50.000000
host: 	Node35		 idle_time: 		6.651631		 performance_value: 		50.000000
host: 	Node36		 idle_time: 		62.419007		 performance_value: 		50.000000
host: 	Node37		 idle_time: 		71.049027		 performance_value: 		50.000000
host: 	Node38		 idle_time: 		68.884640		 performance_value: 		50.000000
host: 	Node39		 idle_time: 		37.708171		 performance_value: 		50.000000
host: 	Node40		 idle_time: 		69.132376		 performance_value: 		50.000000
host: 	Node41		 idle_time: 		63.478990		 performance_value: 		50.000000
host: 	Node42		 idle_time: 		57.058657		 performance_value: 		50.000000
host: 	Node43		 idle_time: 		74.840830		 performance_value: 		50.000000
host: 	Node44		 idle_time: 		52.910262		 performance_value: 		50.000000
