Execution with redundancy: 0, threshold: 0
Map reduce execution time: 2.94861

host: 	NodeCoordinator		 idle_time: 		99.862101
host: 	Node0		 idle_time: 		99.741141
host: 	Node1		 idle_time: 		99.740145
host: 	Node2		 idle_time: 		99.737032
host: 	Node3		 idle_time: 		99.740482
host: 	Node4		 idle_time: 		99.739482
host: 	Node5		 idle_time: 		99.744863
host: 	Node6		 idle_time: 		99.731622
host: 	Node7		 idle_time: 		99.735271
host: 	Node8		 idle_time: 		99.737790
host: 	Node9		 idle_time: 		99.733157
host: 	Node10		 idle_time: 		99.740630
host: 	Node11		 idle_time: 		99.739489
host: 	Node12		 idle_time: 		99.738757
host: 	Node13		 idle_time: 		99.738448
host: 	Node14		 idle_time: 		99.742031
host: 	Node15		 idle_time: 		99.742205
host: 	Node16		 idle_time: 		99.744563
host: 	Node17		 idle_time: 		99.742205
host: 	Node18		 idle_time: 		99.739234
host: 	Node19		 idle_time: 		99.741935
host: 	Node20		 idle_time: 		99.741307
host: 	Node21		 idle_time: 		99.743436
host: 	Node22		 idle_time: 		99.737881
host: 	Node23		 idle_time: 		99.739673
host: 	Node24		 idle_time: 		99.730953
host: 	Node25		 idle_time: 		99.743163
host: 	Node26		 idle_time: 		99.744587
host: 	Node27		 idle_time: 		99.734447
host: 	Node28		 idle_time: 		99.741359
host: 	Node29		 idle_time: 		99.745111
host: 	Node30		 idle_time: 		99.738834
host: 	Node31		 idle_time: 		99.747260
host: 	Node32		 idle_time: 		99.736371
host: 	Node33		 idle_time: 		99.741632
host: 	Node34		 idle_time: 		99.740531
host: 	Node35		 idle_time: 		99.740672
host: 	Node36		 idle_time: 		99.745982
host: 	Node37		 idle_time: 		99.740444
host: 	Node38		 idle_time: 		99.740282
host: 	Node39		 idle_time: 		99.742603
host: 	Node40		 idle_time: 		99.746217
host: 	Node41		 idle_time: 		99.741569
host: 	Node42		 idle_time: 		99.734369
host: 	Node43		 idle_time: 		99.743049
host: 	Node44		 idle_time: 		99.746328
host: 	Node45		 idle_time: 		99.735546
host: 	Node46		 idle_time: 		99.741524
host: 	Node47		 idle_time: 		99.740057




Execution with redundancy: 0, threshold: 1
Map reduce execution time: 3.3408

host: 	NodeCoordinator		 idle_time: 		99.637638
host: 	Node0		 idle_time: 		99.316919
host: 	Node1		 idle_time: 		99.304695
host: 	Node2		 idle_time: 		99.307073
host: 	Node3		 idle_time: 		99.315532
host: 	Node4		 idle_time: 		99.544637
host: 	Node5		 idle_time: 		99.540438
host: 	Node6		 idle_time: 		99.534852
host: 	Node7		 idle_time: 		99.541383
host: 	Node8		 idle_time: 		99.538067
host: 	Node9		 idle_time: 		99.541414
host: 	Node10		 idle_time: 		99.538399
host: 	Node11		 idle_time: 		99.542035
host: 	Node12		 idle_time: 		99.540418
host: 	Node13		 idle_time: 		99.540269
host: 	Node14		 idle_time: 		99.548119
host: 	Node15		 idle_time: 		99.545290
host: 	Node16		 idle_time: 		99.545323
host: 	Node17		 idle_time: 		99.548480
host: 	Node18		 idle_time: 		99.541755
host: 	Node19		 idle_time: 		99.537784
host: 	Node20		 idle_time: 		99.544890
host: 	Node21		 idle_time: 		99.549664
host: 	Node22		 idle_time: 		99.540522
host: 	Node23		 idle_time: 		99.536826
host: 	Node24		 idle_time: 		99.533310
host: 	Node25		 idle_time: 		99.545223
host: 	Node26		 idle_time: 		99.540125
host: 	Node27		 idle_time: 		99.538836
host: 	Node28		 idle_time: 		99.547831
host: 	Node29		 idle_time: 		99.541626
host: 	Node30		 idle_time: 		99.745955
host: 	Node31		 idle_time: 		99.753391
host: 	Node32		 idle_time: 		99.767320
host: 	Node33		 idle_time: 		99.771964
host: 	Node34		 idle_time: 		99.770992
host: 	Node35		 idle_time: 		99.771116
host: 	Node36		 idle_time: 		99.775803
host: 	Node37		 idle_time: 		99.770915
host: 	Node38		 idle_time: 		99.770772
host: 	Node39		 idle_time: 		99.772820
host: 	Node40		 idle_time: 		99.776011
host: 	Node41		 idle_time: 		99.771908
host: 	Node42		 idle_time: 		99.765553
host: 	Node43		 idle_time: 		99.773214
host: 	Node44		 idle_time: 		99.776109
host: 	Node45		 idle_time: 		99.766592
host: 	Node46		 idle_time: 		99.771869
host: 	Node47		 idle_time: 		99.770573




Execution with redundancy: 1, threshold: 0
Map reduce execution time: 2.87768

host: 	NodeCoordinator		 idle_time: 		99.728610
host: 	Node0		 idle_time: 		99.484885
host: 	Node1		 idle_time: 		99.487210
host: 	Node2		 idle_time: 		99.476850
host: 	Node3		 idle_time: 		99.475009
host: 	Node4		 idle_time: 		99.479626
host: 	Node5		 idle_time: 		99.488581
host: 	Node6		 idle_time: 		99.477053
host: 	Node7		 idle_time: 		99.473818
host: 	Node8		 idle_time: 		99.476560
host: 	Node9		 idle_time: 		99.473679
host: 	Node10		 idle_time: 		99.486967
host: 	Node11		 idle_time: 		99.482270
host: 	Node12		 idle_time: 		99.478028
host: 	Node13		 idle_time: 		99.481697
host: 	Node14		 idle_time: 		99.482658
host: 	Node15		 idle_time: 		99.481317
host: 	Node16		 idle_time: 		99.485785
host: 	Node17		 idle_time: 		99.484925
host: 	Node18		 idle_time: 		99.486202
host: 	Node19		 idle_time: 		99.487084
host: 	Node20		 idle_time: 		99.483300
host: 	Node21		 idle_time: 		99.484406
host: 	Node22		 idle_time: 		99.483153
host: 	Node23		 idle_time: 		99.484641
host: 	Node24		 idle_time: 		99.471926
host: 	Node25		 idle_time: 		99.486488
host: 	Node26		 idle_time: 		99.482196
host: 	Node27		 idle_time: 		99.480656
host: 	Node28		 idle_time: 		99.484334
host: 	Node29		 idle_time: 		99.486772
host: 	Node30		 idle_time: 		99.483760
host: 	Node31		 idle_time: 		99.493064
host: 	Node32		 idle_time: 		99.480943
host: 	Node33		 idle_time: 		99.486595
host: 	Node34		 idle_time: 		99.480781
host: 	Node35		 idle_time: 		99.489917
host: 	Node36		 idle_time: 		99.494463
host: 	Node37		 idle_time: 		99.475760
host: 	Node38		 idle_time: 		99.483580
host: 	Node39		 idle_time: 		99.487540
host: 	Node40		 idle_time: 		99.488321
host: 	Node41		 idle_time: 		99.490680
host: 	Node42		 idle_time: 		99.484164
host: 	Node43		 idle_time: 		99.488597
host: 	Node44		 idle_time: 		99.490408
host: 	Node45		 idle_time: 		99.482003
host: 	Node46		 idle_time: 		99.485366
host: 	Node47		 idle_time: 		99.480072




Execution with redundancy: 1, threshold: 1
Map reduce execution time: 3.34801

host: 	NodeCoordinator		 idle_time: 		99.296008
host: 	Node0		 idle_time: 		98.670787
host: 	Node1		 idle_time: 		98.665892
host: 	Node2		 idle_time: 		98.657611
host: 	Node3		 idle_time: 		98.661084
host: 	Node4		 idle_time: 		99.107666
host: 	Node5		 idle_time: 		99.114040
host: 	Node6		 idle_time: 		99.107292
host: 	Node7		 idle_time: 		99.106608
host: 	Node8		 idle_time: 		99.106375
host: 	Node9		 idle_time: 		99.111896
host: 	Node10		 idle_time: 		99.112899
host: 	Node11		 idle_time: 		99.113720
host: 	Node12		 idle_time: 		99.105077
host: 	Node13		 idle_time: 		99.116083
host: 	Node14		 idle_time: 		99.120816
host: 	Node15		 idle_time: 		99.116412
host: 	Node16		 idle_time: 		99.117553
host: 	Node17		 idle_time: 		99.117486
host: 	Node18		 idle_time: 		99.114508
host: 	Node19		 idle_time: 		99.115768
host: 	Node20		 idle_time: 		99.116326
host: 	Node21		 idle_time: 		99.118834
host: 	Node22		 idle_time: 		99.113423
host: 	Node23		 idle_time: 		99.111811
host: 	Node24		 idle_time: 		99.095517
host: 	Node25		 idle_time: 		99.118829
host: 	Node26		 idle_time: 		99.111567
host: 	Node27		 idle_time: 		99.114054
host: 	Node28		 idle_time: 		99.118772
host: 	Node29		 idle_time: 		99.150708
host: 	Node30		 idle_time: 		99.536708
host: 	Node31		 idle_time: 		99.544705
host: 	Node32		 idle_time: 		99.553861
host: 	Node33		 idle_time: 		99.558719
host: 	Node34		 idle_time: 		99.553721
host: 	Node35		 idle_time: 		99.561574
host: 	Node36		 idle_time: 		99.565481
host: 	Node37		 idle_time: 		99.549406
host: 	Node38		 idle_time: 		99.556127
host: 	Node39		 idle_time: 		99.559531
host: 	Node40		 idle_time: 		99.560203
host: 	Node41		 idle_time: 		99.562230
host: 	Node42		 idle_time: 		99.556630
host: 	Node43		 idle_time: 		99.560439
host: 	Node44		 idle_time: 		99.561996
host: 	Node45		 idle_time: 		99.554772
host: 	Node46		 idle_time: 		99.557662
host: 	Node47		 idle_time: 		99.553112




